model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
bigscience/bloom-1b1,0,eng,6216.0,1281,7171,128.05489208336704,1.2505637113604513,0.007242646976991063,bf16,4
bigscience/bloom-1b1,0,dut,6198.0,1281,7171,126.26810882981071,1.2469423878719559,0.0036213234884956425,bf16,4
bigscience/bloom-1b1,0,ind,6192.0,1281,7171,125.67807201426551,1.2457352800424573,0.002414215658997021,bf16,4
bigscience/bloom-1b1,0,jav,6184.0,1281,7171,124.89564297259996,1.2441258029364592,0.000804738552999007,bf16,4
bigscience/bloom-1b1,0,sun,6174.0,1281,7171,123.92445315003546,1.242113956553962,-0.0012071078294981774,bf16,4
bigscience/bloom-1b1,0,ace,6194.0,1281,7171,125.87444396186696,1.2461376493189567,0.0028165849354964134,bf16,4
bigscience/bloom-1b1,0,ban,6168.0,1281,7171,123.3453679765703,1.2409068487244634,-0.002414215658996799,bf16,4
bigscience/bloom-1b1,0,baseline,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,2,eng,6178.0,1281,7171,124.31201953721323,1.2429186951069608,-0.00040236927649939247,bf16,4
bigscience/bloom-1b1,2,dut,6218.0,1281,7171,128.25497781157148,1.250966080636951,0.007645016253490677,bf16,4
bigscience/bloom-1b1,2,ind,6202.0,1281,7171,126.6630048613122,1.2477471264249549,0.0044260620414946494,bf16,4
bigscience/bloom-1b1,2,jav,6170.0,1281,7171,123.53809507485381,1.2413092180009628,-0.0020118463824974064,bf16,4
bigscience/bloom-1b1,2,sun,6182.0,1281,7171,124.70079801531135,1.2437234336599599,0.0004023692764996145,bf16,4
bigscience/bloom-1b1,2,ace,6184.0,1281,7171,124.89564297259996,1.2441258029364592,0.000804738552999007,bf16,4
bigscience/bloom-1b1,2,ban,6174.0,1281,7171,123.92445315003546,1.242113956553962,-0.0012071078294981774,bf16,4
bigscience/bloom-1b1,2,baseline,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,5,eng,6176.0,1281,7171,124.11808506871868,1.2425163258304615,-0.0008047385529987849,bf16,4
bigscience/bloom-1b1,5,dut,6232.0,1281,7171,129.66435906678737,1.2537826655724473,0.01046160118898709,bf16,4
bigscience/bloom-1b1,5,ind,6238.0,1281,7171,130.2731108107256,1.254989773401946,0.011668709018485712,bf16,4
bigscience/bloom-1b1,5,jav,6164.0,1281,7171,122.96081530966198,1.2401021101714644,-0.003218954211995806,bf16,4
bigscience/bloom-1b1,5,sun,6174.0,1281,7171,123.92445315003546,1.242113956553962,-0.0012071078294981774,bf16,4
bigscience/bloom-1b1,5,ace,6222.0,1281,7171,128.6560876581311,1.25177081918995,0.008449754806489684,bf16,4
bigscience/bloom-1b1,5,ban,6176.0,1281,7171,124.11808506871868,1.2425163258304615,-0.0008047385529987849,bf16,4
bigscience/bloom-1b1,5,baseline,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,7,eng,6188.0,1281,7171,125.28624669842421,1.2449305414894585,0.001609477105998236,bf16,4
bigscience/bloom-1b1,7,dut,6208.0,1281,7171,127.2576657662574,1.2489542342544535,0.005633169870993271,bf16,4
bigscience/bloom-1b1,7,ind,6272.0,1281,7171,133.77708412245826,1.2618300511024374,0.01850898671897716,bf16,4
bigscience/bloom-1b1,7,jav,6174.0,1281,7171,123.92445315003546,1.242113956553962,-0.0012071078294981774,bf16,4
bigscience/bloom-1b1,7,sun,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,7,ace,6264.0,1281,7171,132.94423337889447,1.2602205739964394,0.016899509612979147,bf16,4
bigscience/bloom-1b1,7,ban,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,7,baseline,6180.0,1281,7171,124.50625702825332,1.2433210643834602,0.0,bf16,4
bigscience/bloom-1b1,10,eng,6206.0,1281,7171,127.05913590676249,1.248551864977954,0.005230800594493656,bf16,4
bigscience/bloom-1b1,10,dut,6224.0,1281,7171,128.85711275423026,1.2521731884664493,0.008852124082989077,bf16,4
