model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
Qwen/Qwen2.5-3B,0,eng,5582.0,2070,7171,14.829498774314184,1.1230126507101093,0.02152675629272327,bf16,4
Qwen/Qwen2.5-3B,0,dut,5520.0,2070,7171,14.391916095149892,1.1105392031386248,0.009053308721238773,bf16,4
Qwen/Qwen2.5-3B,0,ind,5526.0,2070,7171,14.433692309966379,1.1117463109681234,0.010260416550737395,bf16,4
Qwen/Qwen2.5-3B,0,jav,5472.0,2070,7171,14.06203005182819,1.1008823405026367,-0.0006035539147493107,bf16,4
Qwen/Qwen2.5-3B,0,sun,5488.0,2070,7171,14.171143221718888,1.1041012947146327,0.002615400297246717,bf16,4
Qwen/Qwen2.5-3B,0,ace,5468.0,2070,7171,14.034883284105474,1.1000776019496377,-0.0014082924677483177,bf16,4
Qwen/Qwen2.5-3B,0,ban,5510.0,2070,7171,14.322557597930324,1.1085273567561273,0.007041462338741367,bf16,4
Qwen/Qwen2.5-3B,0,baseline,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,eng,19692.0,2070,7171,13535.125554118076,3.961727896414094,2.860242001996708,bf16,4
Qwen/Qwen2.5-3B,3,dut,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,ind,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,jav,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,sun,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,ace,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,ban,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,3,baseline,5475.0,2070,7171,14.082424580600813,1.101485894417386,0.0,bf16,4
Qwen/Qwen2.5-3B,7,eng,6176.0,2070,7171,19.758324164356278,1.2425163258304615,0.14103043141307547,bf16,4
Qwen/Qwen2.5-3B,7,dut,5473.0,2070,7171,14.068824944207165,1.1010835251408866,-0.00040236927649939247,bf16,4
