model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
EleutherAI/pythia-2.8b,0,eng,7696.0,2521,7171,21.173636415932343,1.5483169759700828,0.05230800594493523,bf16,5
EleutherAI/pythia-2.8b,0,dut,7552.0,2521,7171,19.998087662795324,1.5193463880621185,0.02333741803697098,bf16,5
EleutherAI/pythia-2.8b,0,ind,7404.0,2521,7171,18.857859748342083,1.4895710616011555,-0.006437908423992056,bf16,5
EleutherAI/pythia-2.8b,0,jav,7426.0,2521,7171,19.02314670852151,1.49399712364265,-0.0020118463824976285,bf16,5
EleutherAI/pythia-2.8b,0,sun,7438.0,2521,7171,19.113913041902517,1.496411339301647,0.00040236927649939247,bf16,5
EleutherAI/pythia-2.8b,0,ace,7456.0,2521,7171,19.250875210646853,1.5000326627901424,0.004023692764994813,bf16,5
EleutherAI/pythia-2.8b,0,ban,7480.0,2521,7171,19.435019291533987,1.5048610941081366,0.008852124082989077,bf16,5
EleutherAI/pythia-2.8b,0,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,3,eng,8550.0,2521,7171,29.710820469710512,1.72012865703537,0.22411968701022245,bf16,5
EleutherAI/pythia-2.8b,3,dut,7592.0,2521,7171,20.317922365244087,1.5273937735921086,0.03138480356696105,bf16,5
EleutherAI/pythia-2.8b,3,ind,7488.0,2521,7171,19.496791251665037,1.5064705712141344,0.010461601188986869,bf16,5
EleutherAI/pythia-2.8b,3,jav,7504.0,2521,7171,19.620924801039553,1.5096895254261304,0.013680555400982897,bf16,5
EleutherAI/pythia-2.8b,3,sun,7534.0,2521,7171,19.85580938053203,1.515725064573623,0.01971609454847556,bf16,5
EleutherAI/pythia-2.8b,3,ace,7430.0,2521,7171,19.053354160231567,1.494801862195649,-0.0012071078294986215,bf16,5
EleutherAI/pythia-2.8b,3,ban,7474.0,2521,7171,19.388818792021137,1.503653986278638,0.007645016253490455,bf16,5
EleutherAI/pythia-2.8b,3,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,6,eng,8384.0,2521,7171,27.81747495957897,1.686732007085911,0.19072303706076355,bf16,5
EleutherAI/pythia-2.8b,6,dut,7562.0,2521,7171,20.077571213625948,1.521358234444616,0.025349264419468387,bf16,5
EleutherAI/pythia-2.8b,6,ind,7510.0,2521,7171,19.667678372592096,1.510896633255629,0.014887663230481518,bf16,5
EleutherAI/pythia-2.8b,6,jav,7482.0,2521,7171,19.450443909210016,1.505263463384636,0.00925449335948847,bf16,5
EleutherAI/pythia-2.8b,6,sun,7474.0,2521,7171,19.388818792021137,1.503653986278638,0.007645016253490455,bf16,5
EleutherAI/pythia-2.8b,6,ace,7514.0,2521,7171,19.698909296360505,1.511701371808628,0.015692401783480525,bf16,5
EleutherAI/pythia-2.8b,6,ban,7492.0,2521,7171,19.52775081841074,1.5072753097671334,0.011266339741985876,bf16,5
EleutherAI/pythia-2.8b,6,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,10,eng,7846.0,2521,7171,22.471706766018023,1.5784946717075452,0.08248570168239766,bf16,5
EleutherAI/pythia-2.8b,10,dut,7490.0,2521,7171,19.512264894703677,1.506872940490634,0.010863970465486483,bf16,5
EleutherAI/pythia-2.8b,10,ind,7510.0,2521,7171,19.667678372592096,1.510896633255629,0.014887663230481518,bf16,5
EleutherAI/pythia-2.8b,10,jav,7464.0,2521,7171,19.31206189012279,1.5016421398961404,0.005633169870992827,bf16,5
EleutherAI/pythia-2.8b,10,sun,7498.0,2521,7171,19.574282371046856,1.5084824175966318,0.012473447571484275,bf16,5
EleutherAI/pythia-2.8b,10,ace,7754.0,2521,7171,21.666419768847078,1.559985684988568,0.0639767149634205,bf16,5
EleutherAI/pythia-2.8b,10,ban,7450.0,2521,7171,19.20511245438456,1.498825554960644,0.0028165849354964134,bf16,5
EleutherAI/pythia-2.8b,10,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,13,eng,8622.0,2521,7171,30.571597762481453,1.7346139509893521,0.23860498096420457,bf16,5
EleutherAI/pythia-2.8b,13,dut,7484.0,2521,7171,19.465880768645462,1.5056658326611354,0.009656862635987862,bf16,5
EleutherAI/pythia-2.8b,13,ind,7510.0,2521,7171,19.667678372592096,1.510896633255629,0.014887663230481518,bf16,5
EleutherAI/pythia-2.8b,13,jav,7438.0,2521,7171,19.113913041902517,1.496411339301647,0.00040236927649939247,bf16,5
EleutherAI/pythia-2.8b,13,sun,7476.0,2521,7171,19.40420674263598,1.5040563555551374,0.008047385529989848,bf16,5
EleutherAI/pythia-2.8b,13,ace,8044.0,2521,7171,24.307800392871602,1.618329230080996,0.1223202600558484,bf16,5
EleutherAI/pythia-2.8b,13,ban,7466.0,2521,7171,19.327388922564722,1.5020445091726398,0.006035539147492219,bf16,5
EleutherAI/pythia-2.8b,13,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,17,eng,8496.0,2521,7171,29.081180118614462,1.7092646865698835,0.21325571654473596,bf16,5
EleutherAI/pythia-2.8b,17,dut,8046.0,2521,7171,24.32709229693307,1.6187315993574956,0.12272262933234801,bf16,5
EleutherAI/pythia-2.8b,17,ind,7800.0,2521,7171,22.065389906253355,1.5692401783480567,0.07323120832290919,bf16,5
EleutherAI/pythia-2.8b,17,jav,7786.0,2521,7171,21.943192648744308,1.56642359341256,0.07041462338741256,bf16,5
EleutherAI/pythia-2.8b,17,sun,7446.0,2521,7171,19.174664402972013,1.4980208164076452,0.0020118463824976285,bf16,5
EleutherAI/pythia-2.8b,17,ace,7996.0,2521,7171,23.84935657995544,1.6086723674450079,0.11266339741986031,bf16,5
EleutherAI/pythia-2.8b,17,ban,8090.0,2521,7171,24.755409484094542,1.6275837234404846,0.1315747534153371,bf16,5
EleutherAI/pythia-2.8b,17,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,20,eng,8172.0,2521,7171,25.5738617689918,1.644080863776964,0.1480718937518164,bf16,5
EleutherAI/pythia-2.8b,20,dut,7934.0,2521,7171,23.26997315958798,1.5961989198735234,0.10018994984837581,bf16,5
EleutherAI/pythia-2.8b,20,ind,7860.0,2521,7171,22.59684721309476,1.5813112566430418,0.0853022866178943,bf16,5
EleutherAI/pythia-2.8b,20,jav,7482.0,2521,7171,19.450443909210016,1.505263463384636,0.00925449335948847,bf16,5
EleutherAI/pythia-2.8b,20,sun,7530.0,2521,7171,19.824329705195996,1.5149203260206239,0.01891135599547633,bf16,5
EleutherAI/pythia-2.8b,20,ace,7814.0,2521,7171,22.18826765588502,1.5720567632835534,0.07604779325840583,bf16,5
EleutherAI/pythia-2.8b,20,ban,7752.0,2521,7171,21.64923783495895,1.5595833157120687,0.06357434568692111,bf16,5
EleutherAI/pythia-2.8b,20,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,24,eng,7870.0,2521,7171,22.686659683384875,1.5833231030255392,0.0873141330003917,bf16,5
EleutherAI/pythia-2.8b,24,dut,8016.0,2521,7171,24.0393146125823,1.612696060210003,0.11668709018485535,bf16,5
EleutherAI/pythia-2.8b,24,ind,7770.0,2521,7171,21.80436706250318,1.5632046392005643,0.06719566917541675,bf16,5
EleutherAI/pythia-2.8b,24,jav,7486.0,2521,7171,19.481329879555997,1.506068201937635,0.010059231912487476,bf16,5
EleutherAI/pythia-2.8b,24,sun,7650.0,2521,7171,20.790790308696273,1.5390624826105943,0.04305351258544676,bf16,5
EleutherAI/pythia-2.8b,24,ace,7928.0,2521,7171,23.21465629226221,1.594991812044025,0.09898284201887741,bf16,5
EleutherAI/pythia-2.8b,24,ban,7610.0,2521,7171,20.46351195254745,1.531015097080604,0.03500612705545647,bf16,5
EleutherAI/pythia-2.8b,24,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,27,eng,7852.0,2521,7171,22.525253301711242,1.5797017795370438,0.08369280951189628,bf16,5
EleutherAI/pythia-2.8b,27,dut,7972.0,2521,7171,23.623387272629945,1.603843936127014,0.10783496610186649,bf16,5
EleutherAI/pythia-2.8b,27,ind,7664.0,2521,7171,20.90657006772389,1.5418790675460907,0.045870097520943176,bf16,5
EleutherAI/pythia-2.8b,27,jav,7458.0,2521,7171,19.2661536822346,1.500435032066642,0.004426062041494427,bf16,5
EleutherAI/pythia-2.8b,27,sun,7642.0,2521,7171,20.72491855300765,1.537453005504596,0.04144403547944853,bf16,5
EleutherAI/pythia-2.8b,27,ace,7786.0,2521,7171,21.943192648744308,1.56642359341256,0.07041462338741256,bf16,5
EleutherAI/pythia-2.8b,27,ban,7604.0,2521,7171,20.414866542948772,1.5298079892511054,0.03379901922595785,bf16,5
EleutherAI/pythia-2.8b,27,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
EleutherAI/pythia-2.8b,31,eng,8268.0,2521,7171,26.566497571479687,1.66339458904894,0.16738561902379256,bf16,5
EleutherAI/pythia-2.8b,31,dut,8028.0,2521,7171,24.154014902592635,1.615110275869,0.11910130584385237,bf16,5
EleutherAI/pythia-2.8b,31,ind,7830.0,2521,7171,22.32953748757395,1.5752757174955492,0.07926674747040163,bf16,5
EleutherAI/pythia-2.8b,31,jav,7450.0,2521,7171,19.20511245438456,1.498825554960644,0.0028165849354964134,bf16,5
EleutherAI/pythia-2.8b,31,sun,7444.0,2521,7171,19.159458484337847,1.4976184471311453,0.001609477105997792,bf16,5
EleutherAI/pythia-2.8b,31,ace,7552.0,2521,7171,19.998087662795324,1.5193463880621185,0.02333741803697098,bf16,5
EleutherAI/pythia-2.8b,31,ban,7624.0,2521,7171,20.57746916377158,1.5338316820161007,0.037822711990953106,bf16,5
EleutherAI/pythia-2.8b,31,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,5
