model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
EleutherAI/pythia-1b,0,eng,8944.0,2521,7171,34.736760015519295,1.7993954045057718,0.09858047274237802,bf16,3
EleutherAI/pythia-1b,0,dut,9066.0,2521,7171,36.45913292063612,1.8239399303722412,0.1231249986088474,bf16,3
EleutherAI/pythia-1b,0,ind,8736.0,2521,7171,31.9857839002164,1.7575489997498235,0.05673406798642966,bf16,3
EleutherAI/pythia-1b,0,jav,8584.0,2521,7171,30.11423599709139,1.7269689347358614,0.026154002972467616,bf16,3
EleutherAI/pythia-1b,0,sun,8468.0,2521,7171,28.75997115648355,1.7036315166988902,0.0028165849354964134,bf16,3
EleutherAI/pythia-1b,0,ace,8484.0,2521,7171,28.94308217477781,1.7068504709108865,0.006035539147492663,bf16,3
EleutherAI/pythia-1b,0,ban,8684.0,2521,7171,31.332779425917405,1.7470873985608364,0.04627246679744257,bf16,3
EleutherAI/pythia-1b,0,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,1,eng,9074.0,2521,7171,36.57501405619884,1.8255494074782395,0.12473447571484564,bf16,3
EleutherAI/pythia-1b,1,dut,8724.0,2521,7171,31.833892850038694,1.7551347840908265,0.05431985232743264,bf16,3
EleutherAI/pythia-1b,1,ind,8550.0,2521,7171,29.710820469710512,1.72012865703537,0.019313725271976168,bf16,3
EleutherAI/pythia-1b,1,jav,8492.0,2521,7171,29.035074412673293,1.7084599480168843,0.007645016253490455,bf16,3
EleutherAI/pythia-1b,1,sun,8428.0,2521,7171,28.30724588999647,1.6955841311689002,-0.005230800594493656,bf16,3
EleutherAI/pythia-1b,1,ace,8496.0,2521,7171,29.081180118614462,1.7092646865698835,0.008449754806489684,bf16,3
EleutherAI/pythia-1b,1,ban,8440.0,2521,7171,28.442310028275898,1.6979983468278974,-0.0028165849354964134,bf16,3
EleutherAI/pythia-1b,1,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,3,eng,15808.0,2521,7171,528.7562594137811,3.1803267614520614,1.4795118296886676,bf16,3
EleutherAI/pythia-1b,3,dut,8568.0,2521,7171,29.92371556857302,1.7237499805238652,0.022935048760471366,bf16,3
EleutherAI/pythia-1b,3,ind,10344.0,2521,7171,60.529671154033515,2.081053898055423,0.38023896629202936,bf16,3
EleutherAI/pythia-1b,3,jav,9078.0,2521,7171,36.63309266894499,1.8263541460312382,0.12553921426784442,bf16,3
EleutherAI/pythia-1b,3,sun,11364.0,2521,7171,90.71611597928302,2.2862622290701693,0.5854472973067755,bf16,3
EleutherAI/pythia-1b,3,ace,11840.0,2521,7171,109.56839744959123,2.3820261168770505,0.6812111851136566,bf16,3
EleutherAI/pythia-1b,3,ban,9350.0,2521,7171,40.80667602761532,1.8810763676351707,0.1802614358717769,bf16,3
EleutherAI/pythia-1b,3,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,5,eng,9900.0,2521,7171,50.75514997146299,1.9917279186725336,0.2909129869091398,bf16,3
EleutherAI/pythia-1b,5,dut,9174.0,2521,7171,38.05498661939801,1.8456678713032144,0.1448529395398206,bf16,3
EleutherAI/pythia-1b,5,ind,8798.0,2521,7171,32.78217643372502,1.7700224473213082,0.06920751555791438,bf16,3
EleutherAI/pythia-1b,5,jav,8462.0,2521,7171,28.69160358691888,1.7024244088693918,0.001609477105998014,bf16,3
EleutherAI/pythia-1b,5,sun,8588.0,2521,7171,30.162055337582522,1.7277736732888604,0.026958741525466623,bf16,3
EleutherAI/pythia-1b,5,ace,8696.0,2521,7171,31.482279482175315,1.7495016142198334,0.04868668245643959,bf16,3
EleutherAI/pythia-1b,5,ban,8498.0,2521,7171,29.1042604190849,1.709667055846383,0.008852124082989077,bf16,3
EleutherAI/pythia-1b,5,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,6,eng,9932.0,2521,7171,51.40351039173954,1.9981658270965257,0.29735089533313186,bf16,3
EleutherAI/pythia-1b,6,dut,8896.0,2521,7171,34.081626582938604,1.7897385418697838,0.08892361010638994,bf16,3
EleutherAI/pythia-1b,6,ind,9086.0,2521,7171,36.74952671544006,1.8279636231372365,0.12714869137384266,bf16,3
EleutherAI/pythia-1b,6,jav,8484.0,2521,7171,28.94308217477781,1.7068504709108865,0.006035539147492663,bf16,3
EleutherAI/pythia-1b,6,sun,8630.0,2521,7171,30.66876604874856,1.73622342809535,0.035408496331956085,bf16,3
EleutherAI/pythia-1b,6,ace,8676.0,2521,7171,31.233507336653616,1.7454779214548386,0.04466298969144478,bf16,3
EleutherAI/pythia-1b,6,ban,8538.0,2521,7171,29.56973254962502,1.717714441376373,0.016899509612979147,bf16,3
EleutherAI/pythia-1b,6,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,8,eng,9614.0,2521,7171,45.31173479638687,1.9341891121331047,0.23337418036971092,bf16,3
EleutherAI/pythia-1b,8,dut,9270.0,2521,7171,39.53207062504526,1.8649815965751906,0.16416666481179676,bf16,3
EleutherAI/pythia-1b,8,ind,8992.0,2521,7171,35.40448673831282,1.8090522671417597,0.10823733537836588,bf16,3
EleutherAI/pythia-1b,8,jav,8564.0,2521,7171,29.876274095254367,1.7229452419708664,0.02213031020747258,bf16,3
EleutherAI/pythia-1b,8,sun,8670.0,2521,7171,31.159259731398073,1.74427081362534,0.043455881861946155,bf16,3
EleutherAI/pythia-1b,8,ace,8542.0,2521,7171,29.616687256002386,1.718519179929372,0.017704248165978154,bf16,3
EleutherAI/pythia-1b,8,ban,8610.0,2521,7171,30.42642226500922,1.7321997353303549,0.03138480356696105,bf16,3
EleutherAI/pythia-1b,8,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,10,eng,9424.0,2521,7171,42.02224526899218,1.8959640308656522,0.19514909910225842,bf16,3
EleutherAI/pythia-1b,10,dut,9532.0,2521,7171,43.861602109671274,1.9176919717966254,0.2168770400332316,bf16,3
EleutherAI/pythia-1b,10,ind,8896.0,2521,7171,34.081626582938604,1.7897385418697838,0.08892361010638994,bf16,3
EleutherAI/pythia-1b,10,jav,8450.0,2521,7171,28.555355627084758,1.7000101932103946,-0.000804738552999229,bf16,3
EleutherAI/pythia-1b,10,sun,8480.0,2521,7171,28.897195411230438,1.7060457323578873,0.005230800594493434,bf16,3
EleutherAI/pythia-1b,10,ace,8814.0,2521,7171,32.99089631303298,1.773241401533304,0.07242646976991018,bf16,3
EleutherAI/pythia-1b,10,ban,8424.0,2521,7171,28.26236719010584,1.6947793926159014,-0.006035539147492441,bf16,3
EleutherAI/pythia-1b,10,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,11,eng,8934.0,2521,7171,34.599243330806395,1.7973835581232742,0.0965686263598804,bf16,3
EleutherAI/pythia-1b,11,dut,9590.0,2521,7171,44.882412466816724,1.9293606808151107,0.22854574905171687,bf16,3
EleutherAI/pythia-1b,11,ind,8764.0,2521,7171,32.34302071362037,1.7631821696208165,0.06236723785742271,bf16,3
EleutherAI/pythia-1b,11,jav,8578.0,2521,7171,30.042649098995565,1.7257618269063628,0.024946895142968994,bf16,3
EleutherAI/pythia-1b,11,sun,8434.0,2521,7171,28.374697595743964,1.6967912389983988,-0.004023692764995035,bf16,3
EleutherAI/pythia-1b,11,ace,9194.0,2521,7171,38.35809124889304,1.8496915640682094,0.14887663230481563,bf16,3
EleutherAI/pythia-1b,11,ban,9466.0,2521,7171,42.72820252378553,1.9044137856721415,0.20359885390874766,bf16,3
EleutherAI/pythia-1b,11,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,13,eng,8862.0,2521,7171,33.625063203303725,1.782898264169292,0.08208333240589827,bf16,3
EleutherAI/pythia-1b,13,dut,9146.0,2521,7171,37.634659703294,1.8400347014322216,0.13921976966882776,bf16,3
EleutherAI/pythia-1b,13,ind,8686.0,2521,7171,31.35764670987129,1.7474897678373362,0.046674836073942405,bf16,3
EleutherAI/pythia-1b,13,jav,8608.0,2521,7171,30.402293461940364,1.7317973660538555,0.030982434290461658,bf16,3
EleutherAI/pythia-1b,13,sun,8430.0,2521,7171,28.329711956984358,1.6959865004454,-0.00482843131799382,bf16,3
EleutherAI/pythia-1b,13,ace,9070.0,2521,7171,36.51702752209014,1.8247446689252402,0.12392973716184641,bf16,3
EleutherAI/pythia-1b,13,ban,8746.0,2521,7171,32.112913239949215,1.759560846132321,0.05874591436892729,bf16,3
EleutherAI/pythia-1b,13,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
EleutherAI/pythia-1b,15,eng,9476.0,2521,7171,42.89802822484587,1.906425632054639,0.20561070029124529,bf16,3
EleutherAI/pythia-1b,15,dut,9216.0,2521,7171,38.694295483383215,1.8541176261097039,0.15330269434631005,bf16,3
EleutherAI/pythia-1b,15,ind,8856.0,2521,7171,33.545130444151766,1.7816911563397935,0.08087622457639965,bf16,3
EleutherAI/pythia-1b,15,jav,8532.0,2521,7171,29.499440033123676,1.7165073335468743,0.015692401783480525,bf16,3
EleutherAI/pythia-1b,15,sun,8412.0,2521,7171,28.128157547271854,1.6923651769569044,-0.008449754806489462,bf16,3
EleutherAI/pythia-1b,15,ace,8508.0,2521,7171,29.219936977834653,1.7116789022288803,0.010863970465486483,bf16,3
EleutherAI/pythia-1b,15,ban,8646.0,2521,7171,30.864030117354858,1.739442382307346,0.03862745054395211,bf16,3
EleutherAI/pythia-1b,15,baseline,8454.0,2521,7171,28.600699572510074,1.7008149317633938,0.0,bf16,3
