model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
EleutherAI/pythia-2.8b,0,eng,7676.0,2521,7171,21.006322897142507,1.5442932832050877,0.0482843131799402,bf16,4
EleutherAI/pythia-2.8b,0,dut,7530.0,2521,7171,19.824329705195996,1.5149203260206239,0.01891135599547633,bf16,4
EleutherAI/pythia-2.8b,0,ind,7414.0,2521,7171,18.932811397676666,1.4915829079836531,-0.004426062041494427,bf16,4
EleutherAI/pythia-2.8b,0,jav,7422.0,2521,7171,18.99298714812397,1.493192385089651,-0.0028165849354966355,bf16,4
EleutherAI/pythia-2.8b,0,sun,7432.0,2521,7171,19.06847586908912,1.4952042314721483,-0.000804738552999229,bf16,4
EleutherAI/pythia-2.8b,0,ace,7434.0,2521,7171,19.083609579302273,1.495606600748648,-0.0004023692764996145,bf16,4
EleutherAI/pythia-2.8b,0,ban,7460.0,2521,7171,19.28144427959282,1.5008374013431416,0.004828431317994042,bf16,4
EleutherAI/pythia-2.8b,0,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,4
EleutherAI/pythia-2.8b,3,eng,8554.0,2521,7171,29.757999214024302,1.7209333955883688,0.22492442556322123,bf16,4
EleutherAI/pythia-2.8b,3,dut,7586.0,2521,7171,20.26962304800356,1.5261866657626102,0.03017769573746265,bf16,4
EleutherAI/pythia-2.8b,3,ind,7480.0,2521,7171,19.435019291533987,1.5048610941081366,0.008852124082989077,bf16,4
EleutherAI/pythia-2.8b,3,jav,7502.0,2521,7171,19.605364988373136,1.509287156149631,0.013278186124483504,bf16,4
EleutherAI/pythia-2.8b,3,sun,7506.0,2521,7171,19.636496962763,1.51009189470263,0.014082924677482511,bf16,4
EleutherAI/pythia-2.8b,3,ace,7448.0,2521,7171,19.189882389794942,1.4984231856841446,0.002414215658997021,bf16,4
EleutherAI/pythia-2.8b,3,ban,7506.0,2521,7171,19.636496962763,1.51009189470263,0.014082924677482511,bf16,4
EleutherAI/pythia-2.8b,3,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,4
EleutherAI/pythia-2.8b,6,eng,8344.0,2521,7171,27.379586002891543,1.6786846215559212,0.1826756515307737,bf16,4
EleutherAI/pythia-2.8b,6,dut,7566.0,2521,7171,20.109453019101338,1.5221629729976152,0.026154002972467616,bf16,4
EleutherAI/pythia-2.8b,6,ind,7510.0,2521,7171,19.667678372592096,1.510896633255629,0.014887663230481518,bf16,4
EleutherAI/pythia-2.8b,6,jav,7462.0,2521,7171,19.29674701234513,1.501239770619641,0.005230800594493434,bf16,4
EleutherAI/pythia-2.8b,6,sun,7480.0,2521,7171,19.435019291533987,1.5048610941081366,0.008852124082989077,bf16,4
EleutherAI/pythia-2.8b,6,ace,7512.0,2521,7171,19.683287640322767,1.5112990025321287,0.015290032506981133,bf16,4
EleutherAI/pythia-2.8b,6,ban,7500.0,2521,7171,19.589817514970665,1.5088847868731317,0.012875816847984112,bf16,4
EleutherAI/pythia-2.8b,6,baseline,7436.0,2521,7171,19.098755300395926,1.4960089700251475,0.0,bf16,4
