model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
meta-llama/Llama-3.2-3B,0,eng,6028.0,2090,7171,17.889438777948595,1.2127409993694982,0.013680555400982897,bf16,2
meta-llama/Llama-3.2-3B,0,dut,6020.0,2090,7171,17.821093345371033,1.2111315222635002,0.012071078294984883,bf16,2
meta-llama/Llama-3.2-3B,0,ind,5986.0,2090,7171,17.53352622666551,1.2042912445630087,0.005230800594493434,bf16,2
meta-llama/Llama-3.2-3B,0,jav,5972.0,2090,7171,17.416469263205926,1.2014746596275123,0.002414215658997021,bf16,2
meta-llama/Llama-3.2-3B,0,sun,5964.0,2090,7171,17.349930779772063,1.199865182521514,0.0008047385529987849,bf16,2
meta-llama/Llama-3.2-3B,0,ace,5940.0,2090,7171,17.151836684056047,1.1950367512035203,-0.004023692764995035,bf16,2
meta-llama/Llama-3.2-3B,0,ban,5976.0,2090,7171,17.449834136657756,1.202279398180511,0.003218954211995806,bf16,2
meta-llama/Llama-3.2-3B,0,baseline,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,eng,21196.0,2090,7171,25377.717247550983,4.26430959234172,3.065249148373204,bf16,2
meta-llama/Llama-3.2-3B,3,dut,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,ind,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,jav,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,sun,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,ace,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,ban,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,3,baseline,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,eng,19616.0,2090,7171,11916.102706605578,3.946437863907113,2.747377419938598,bf16,2
meta-llama/Llama-3.2-3B,6,dut,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,ind,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,jav,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,sun,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,ace,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,ban,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,6,baseline,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,eng,16492.0,2090,7171,2672.8727007920197,3.317937054014891,2.1188766100463754,bf16,2
meta-llama/Llama-3.2-3B,9,dut,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,ind,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,jav,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,sun,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,ace,6044.0,2090,7171,18.02691698023595,1.2159599535814942,0.016899509612978925,bf16,2
meta-llama/Llama-3.2-3B,9,ban,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,9,baseline,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,12,eng,15260.0,2090,7171,1482.426285745764,3.0700775796911985,1.8710171357226832,bf16,2
meta-llama/Llama-3.2-3B,12,dut,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
meta-llama/Llama-3.2-3B,12,ind,5960.0,2090,7171,17.316756926064812,1.1990604439685153,0.0,bf16,2
