model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
bigscience/bloom-1b7,0,eng,5985.0,1281,7171,106.92537353544253,1.204090059924759,0.002414215658997021,bf16,3
bigscience/bloom-1b7,0,dut,5985.0,1281,7171,106.92537353544253,1.204090059924759,0.002414215658997021,bf16,3
bigscience/bloom-1b7,0,ind,6011.0,1281,7171,109.1177736138852,1.2093208605192525,0.007645016253490455,bf16,3
bigscience/bloom-1b7,0,jav,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,0,sun,5972.0,1281,7171,105.84574791481283,1.2014746596275123,-0.00020118463824969623,bf16,3
bigscience/bloom-1b7,0,ace,5976.0,1281,7171,106.17677422216968,1.202279398180511,0.0006035539147490887,bf16,3
bigscience/bloom-1b7,0,ban,5976.0,1281,7171,106.17677422216968,1.202279398180511,0.0006035539147490887,bf16,3
bigscience/bloom-1b7,0,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,2,eng,5981.0,1281,7171,106.59201332720973,1.2032853213717598,0.001609477105997792,bf16,3
bigscience/bloom-1b7,2,dut,5988.0,1281,7171,107.17607769630543,1.2046936138395081,0.0030177695737461097,bf16,3
bigscience/bloom-1b7,2,ind,5997.0,1281,7171,107.93172259840848,1.2065042755837558,0.00482843131799382,bf16,3
bigscience/bloom-1b7,2,jav,5977.0,1281,7171,106.25969243289053,1.2024805828187608,0.0008047385529987849,bf16,3
bigscience/bloom-1b7,2,sun,5965.0,1281,7171,105.26893328130382,1.200066367159764,-0.001609477105998014,bf16,3
bigscience/bloom-1b7,2,ace,5974.0,1281,7171,106.01113186230859,1.2018770289040117,0.00020118463824969623,bf16,3
bigscience/bloom-1b7,2,ban,5970.0,1281,7171,105.68062197654326,1.2010722903510125,-0.0006035539147495328,bf16,3
bigscience/bloom-1b7,2,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,5,eng,5967.0,1281,7171,105.43341595611794,1.2004687364362634,-0.0012071078294986215,bf16,3
bigscience/bloom-1b7,5,dut,6003.0,1281,7171,108.4384433721888,1.2077113834132545,0.006035539147492441,bf16,3
bigscience/bloom-1b7,5,ind,6024.0,1281,7171,110.23077386548185,1.2119362608164994,0.010260416550737395,bf16,3
bigscience/bloom-1b7,5,jav,5970.0,1281,7171,105.68062197654326,1.2010722903510125,-0.0006035539147495328,bf16,3
bigscience/bloom-1b7,5,sun,5970.0,1281,7171,105.68062197654326,1.2010722903510125,-0.0006035539147495328,bf16,3
bigscience/bloom-1b7,5,ace,6008.0,1281,7171,108.86252747634121,1.2087173066045032,0.007041462338741145,bf16,3
bigscience/bloom-1b7,5,ban,5964.0,1281,7171,105.18678819512554,1.199865182521514,-0.0018106617442479322,bf16,3
bigscience/bloom-1b7,5,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,7,eng,5981.0,1281,7171,106.59201332720973,1.2032853213717598,0.001609477105997792,bf16,3
bigscience/bloom-1b7,7,dut,5974.0,1281,7171,106.01113186230859,1.2018770289040117,0.00020118463824969623,bf16,3
bigscience/bloom-1b7,7,ind,6031.0,1281,7171,110.83477659873577,1.2133445532842475,0.01166870901848549,bf16,3
bigscience/bloom-1b7,7,jav,5953.0,1281,7171,104.28741191004546,1.197652151500767,-0.004023692764995035,bf16,3
bigscience/bloom-1b7,7,sun,5958.0,1281,7171,104.69526204399158,1.1986580746920155,-0.0030177695737465537,bf16,3
bigscience/bloom-1b7,7,ace,6013.0,1281,7171,109.28827010049633,1.2097232297957519,0.008047385529989848,bf16,3
bigscience/bloom-1b7,7,ban,5958.0,1281,7171,104.69526204399158,1.1986580746920155,-0.0030177695737465537,bf16,3
bigscience/bloom-1b7,7,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,10,eng,5969.0,1281,7171,105.59815563505913,1.2008711057127628,-0.000804738552999229,bf16,3
bigscience/bloom-1b7,10,dut,5974.0,1281,7171,106.01113186230859,1.2018770289040117,0.00020118463824969623,bf16,3
bigscience/bloom-1b7,10,ind,6038.0,1281,7171,111.44208892774944,1.2147528457519958,0.013077001486233808,bf16,3
bigscience/bloom-1b7,10,jav,5960.0,1281,7171,104.85884835767953,1.1990604439685153,-0.002615400297246717,bf16,3
bigscience/bloom-1b7,10,sun,5979.0,1281,7171,106.42572316856429,1.2028829520952604,0.0012071078294983995,bf16,3
bigscience/bloom-1b7,10,ace,6024.0,1281,7171,110.23077386548185,1.2119362608164994,0.010260416550737395,bf16,3
bigscience/bloom-1b7,10,ban,5970.0,1281,7171,105.68062197654326,1.2010722903510125,-0.0006035539147495328,bf16,3
bigscience/bloom-1b7,10,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,12,eng,5975.0,1281,7171,106.09392071547266,1.2020782135422614,0.00040236927649939247,bf16,3
bigscience/bloom-1b7,12,dut,5986.0,1281,7171,107.00887636098207,1.2042912445630087,0.002615400297246717,bf16,3
bigscience/bloom-1b7,12,ind,6055.0,1281,7171,112.93088069352454,1.2181729846022413,0.01649714033647931,bf16,3
bigscience/bloom-1b7,12,jav,5981.0,1281,7171,106.59201332720973,1.2032853213717598,0.001609477105997792,bf16,3
bigscience/bloom-1b7,12,sun,5979.0,1281,7171,106.42572316856429,1.2028829520952604,0.0012071078294983995,bf16,3
bigscience/bloom-1b7,12,ace,6035.0,1281,7171,111.18140579780129,1.2141492918372465,0.012473447571484497,bf16,3
bigscience/bloom-1b7,12,ban,5978.0,1281,7171,106.34267539816554,1.2026817674570107,0.0010059231912487032,bf16,3
bigscience/bloom-1b7,12,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,15,eng,5986.0,1281,7171,107.00887636098207,1.2042912445630087,0.002615400297246717,bf16,3
bigscience/bloom-1b7,15,dut,6103.0,1281,7171,117.24276296160427,1.2278298472382296,0.026154002972467616,bf16,3
bigscience/bloom-1b7,15,ind,6093.0,1281,7171,116.33108201383386,1.225818000855732,0.024142156589969987,bf16,3
bigscience/bloom-1b7,15,jav,5985.0,1281,7171,106.92537353544253,1.204090059924759,0.002414215658997021,bf16,3
bigscience/bloom-1b7,15,sun,5983.0,1281,7171,106.7585633141753,1.2036876906482594,0.0020118463824974064,bf16,3
bigscience/bloom-1b7,15,ace,6059.0,1281,7171,113.2840653339942,1.2189777231552406,0.01730187888947854,bf16,3
bigscience/bloom-1b7,15,ban,5990.0,1281,7171,107.3435402836622,1.2050959831160075,0.003420138850245502,bf16,3
bigscience/bloom-1b7,15,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,17,eng,5965.0,1281,7171,105.26893328130382,1.200066367159764,-0.001609477105998014,bf16,3
bigscience/bloom-1b7,17,dut,6112.0,1281,7171,118.0693830250055,1.2296405089824773,0.027964664716715326,bf16,3
bigscience/bloom-1b7,17,ind,6129.0,1281,7171,119.64671100700103,1.233060647832723,0.03138480356696105,bf16,3
bigscience/bloom-1b7,17,jav,5978.0,1281,7171,106.34267539816554,1.2026817674570107,0.0010059231912487032,bf16,3
bigscience/bloom-1b7,17,sun,5966.0,1281,7171,105.3511425182686,1.2002675517980137,-0.0014082924677483177,bf16,3
bigscience/bloom-1b7,17,ace,6034.0,1281,7171,111.094646999398,1.2139481071989966,0.012272262933234579,bf16,3
bigscience/bloom-1b7,17,ban,5972.0,1281,7171,105.84574791481283,1.2014746596275123,-0.00020118463824969623,bf16,3
bigscience/bloom-1b7,17,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,20,eng,6011.0,1281,7171,109.1177736138852,1.2093208605192525,0.007645016253490455,bf16,3
bigscience/bloom-1b7,20,dut,6148.0,1281,7171,121.43455648326072,1.2368831559594682,0.03520731169370617,bf16,3
bigscience/bloom-1b7,20,ind,6203.0,1281,7171,126.76192168944695,1.2479483110632046,0.04627246679744257,bf16,3
bigscience/bloom-1b7,20,jav,5969.0,1281,7171,105.59815563505913,1.2008711057127628,-0.000804738552999229,bf16,3
bigscience/bloom-1b7,20,sun,5969.0,1281,7171,105.59815563505913,1.2008711057127628,-0.000804738552999229,bf16,3
bigscience/bloom-1b7,20,ace,5987.0,1281,7171,107.09244439762759,1.2044924292012584,0.0028165849354964134,bf16,3
bigscience/bloom-1b7,20,ban,5988.0,1281,7171,107.17607769630543,1.2046936138395081,0.0030177695737461097,bf16,3
bigscience/bloom-1b7,20,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
bigscience/bloom-1b7,23,eng,6514.0,1281,7171,161.5944455038842,1.310516733558877,0.10884088929311497,bf16,3
bigscience/bloom-1b7,23,dut,6230.0,1281,7171,129.46207461632207,1.253380296295948,0.05170445203018592,bf16,3
bigscience/bloom-1b7,23,ind,6670.0,1281,7171,182.52180276623275,1.3419015371258383,0.14022569286007625,bf16,3
bigscience/bloom-1b7,23,jav,6012.0,1281,7171,109.20298858309282,1.2095220451575022,0.007846200891740152,bf16,3
bigscience/bloom-1b7,23,sun,6015.0,1281,7171,109.45903298781373,1.2101255990722515,0.008449754806489462,bf16,3
bigscience/bloom-1b7,23,ace,5993.0,1281,7171,107.5952249053852,1.205699537030757,0.004023692764995035,bf16,3
bigscience/bloom-1b7,23,ban,6184.0,1281,7171,124.89564297259996,1.2441258029364592,0.04244995867069723,bf16,3
bigscience/bloom-1b7,23,baseline,5973.0,1281,7171,105.92840761222595,1.201675844265762,0.0,bf16,3
